acariciando: acariciante, acariciador, acarminado, amaricado
agitaba: agitada, agitanar, agotada, agitar
agolpaba: agolpar, abolsada, alpaca, agozcada
alborota: alborote, alboroto, alborotar, almorta
alcanza: alianza, alcana, alcanzar, alcahaz
altares: alaves, albanes, alates, achares
alzan: alan, alza, alzar, alazan
ambitos: ambito, ambos, amidos, amito
angeles: angelus, anofeles, angel, angelon
arrodillandose: arrodillada, arrodilladura, arrellanarse, arrolladora
atraveso: atraso, atravesaño, atravesado, atravesar
bandadas: bandada, andada, bandeada, badanas
bendiga: bendita, mendiga, bencina, benga
besaban: besana, batalan, bergadan, banaba
bruñidos: bruñido, bruñidor, brujidor, bruñida
caballeros: caballerosa, caballeroso, caballero, caballeria
caen: caer, cane, can, cien
callan: callon, callar, callao, calan
campanas: campana, acampanar, campanear, campanazo
capas: capa, capar, capaz, cabas
chicarreros: chicarrero, chicarrera, chocarrero, chicharrero
chispeaba: chipeada, chispear, chispera, chipeado
circunstantes: circunstante, circundante, circunstancia, circulante
cojines: bajines, coine, cojin, cojinua
conocen: conocer, cognomen, colocon, cognocer
conoci: conoto, conico, conica, congri
cuyas: cuya, coras, cuña, cular
da: a, ad, ca, d
damas: amas, demas, dama, jamas
darle: dalle, dable, acle, ale
dejan: dejar, dean, deja, ademan
dejando: dejado, decano, dejante, devaneo
desaforados: desaforado, desatorador, desaborado, desaforada
desprendia: desprendida, desprendido, desprender, despedir
dice: dije, dire, doce, fice
diciendo: diciente, dividendo, arriendo, bicuento
dientes: diente, ciente, dintel, dente
disposiciones: disposicion, deposicion, imposicion, indisposicion
dueñas: dueña, duela, deñar, demas
encendidas: encendida, entendida, encendido, escondidas
encomiendas: encomienda, encomendar, comienda, enmienda
engarzasen: engarbarse, engrase, engarmarse, engarzar
entonando: entenado, enconado, entonador, antonino
envueltos: envueltas, envuelto, desvuelto, devuelto
es: as, bes, des, e
escucharle: escuchar, escuchante, escucha, estuchar
esposas: esposa, esposar, desposar, esposo
estaba: estiba, esteba, estala, estafa
familiares: familiar, familia, ampliar, afiliar
fuelles: fuelle, fueloleo, fuellega, fuellar
galoneadas: galoneador, galopeada, taloneada, alineada
gavilanes: gavilana, gavilan, aviñones, abiyanes
gritos: grito, griton, artos, brios
habia: abia, habil, habiz, habla
han: can, chan, dan, fan
heredo: herido, teredo, aereo, arredo
hijas: hija, jijas, ainas, ahijar
iglesias: iglesia, eglesia, diglosia, eclesial
ines: fines, ainas, anea, anis
jesucristo: descrito, descripto, escripto, escrito
joyeles: joyelero, joyel, anofeles, ayales
lagrimones: lagrimona, lagrimon, agramontes, agrimonia
lecciones: leccion, aleccionar, eleccion, liones
levantan: levantar, alevantar, devantal, levante
llevaba: llevada, elevada, llevanza, llevar
llevaran: llevar, llevada, albaran, elevar
manos: menos, mano, manes, manso
merecia: bereca, cereria, clerecia, derecha
muertos: muerto, huerto, muerte, muerta
naves: nave, nares, paves, alaves
oira: boira, bira, eira, gira
ojos: ojosa, ojoso, ojo, ajo
oraciones: oracion, oracionera, oracionero, oracional
oye: ole, oxe, ye, ay
pajes: pujes, paje, paves, pajea
panderos: panderon, pandero, andero, bandero
parecian: apreciar, paricion, parcial, parian
perdiendose: perdidosa, perdidoso, pendiente, pereciendo
perez: jerez, pereza, prez, aperea
piedras: piedra, cedras, hiedra, piedad
plumas: pluma, gluma, jumas, luma
pobrecito: precito, pobreto, corecico, correcto
ponderarle: ponderable, ponderal, ponderar, condenable
pone: poner, poney, poni, pope
prorrumpio: prorrumpir, columpio, corrupto, corrupia
puede: cuete, duende, fuete, juete
ricos: bicos, rico, tricos, añicos
rodearon: roderon, rodero, rodeon, rodeador
rojas: roja, rojal, aojar, bojar
sentarse: absentarse, sentar, aseriarse, asentar
servido: cervido, fervido, hervido, servidor
sevilla: servilla, semilla, alevilla, cerilla
siente: ciente, diente, miente, silente
sonajas: sonaja, sonajear, sobajar, sonata
tales: cales, gales, tabes, talea
tamaños: tamaño, amaño, tamagas, tacaño
tapices: apice, tapis, tapicero, tapicera
teas: tea, tesa, tras, tas
tendian: endina, tension, tensina, tenia
tengo: ñengo, rengo, tenio, tenso
tiene: tizne, bien, cieno, cien
todas: toda, andas, bocas, boda
todos: todo, bodon, codon, codo
tomando: comando, tomado, comanda, domanio
va: a, ca, ea, fa
veces: buces, ceceo, creces, deceso
veinticuatros: veinticuatro, veinticuatren, veinticuatria, veinticuatreno
veis: beis, neis, reis, seis
verdes: verde, verdeo, verdel, verdea
vienen: vienes, sienes, veinten, viernes
villancicos: villancico, villanesco, villanchon, villancejo
vinieron: liniero, vinagron, vinifero, biberon
voces: voceo, buces, bocas, bocel
zambombas: zambomba, zambombo, zambombazo, abombar
